property_id,location_id,property_type,price,location,city,province_name,baths,area,purpose,bedrooms,Area Type,Area Size,Area Category
17091213,171,House,25000000,G-9,Islamabad,Islamabad Capital,5,13.6 Marla,For Sale,4,Marla,13.6,10-15 Marla
17091294,3338,House,60000000,G-13,Islamabad,Islamabad Capital,0,1 Kanal,For Sale,7,Kanal,1,1-5 Kanal
17091295,3337,House,14000000,G-13,Islamabad,Islamabad Capital,0,14.2 Marla,For Sale,4,Marla,14.2,10-15 Marla
17091296,3346,House,17000000,G-14,Islamabad,Islamabad Capital,0,4.4 Marla,For Sale,0,Marla,4.4,0-5 Marla
17091297,3337,House,13500000,G-13,Islamabad,Islamabad Capital,0,4.4 Marla,For Sale,4,Marla,4.4,0-5 Marla
17091298,3338,House,27500000,G-13,Islamabad,Islamabad Capital,0,8 Marla,For Sale,6,Marla,8,5-10 Marla
17091299,3337,House,26000000,G-13,Islamabad,Islamabad Capital,0,14.2 Marla,For Sale,0,Marla,14.2,10-15 Marla
17091314,3330,House,60000000,G-11,Islamabad,Islamabad Capital,0,1.2 Kanal,For Sale,12,Kanal,1.2,1-5 Kanal
17091356,3226,House,4350000,DHA Defence,Islamabad,Islamabad Capital,4,8 Marla,For Sale,3,Marla,8,5-10 Marla
17091456,3226,House,4350000,DHA Defence,Islamabad,Islamabad Capital,4,8 Marla,For Sale,3,Marla,8,5-10 Marla
17091499,3226,House,4350000,DHA Defence,Islamabad,Islamabad Capital,4,8 Marla,For Sale,3,Marla,8,5-10 Marla
17091591,3226,House,4350000,DHA Defence,Islamabad,Islamabad Capital,4,8 Marla,For Sale,3,Marla,8,5-10 Marla
17091721,3226,House,4350000,DHA Defence,Islamabad,Islamabad Capital,4,8 Marla,For Sale,3,Marla,8,5-10 Marla
17091754,3226,House,5800000,DHA Defence,Islamabad,Islamabad Capital,4,8 Marla,For Sale,3,Marla,8,5-10 Marla
17091876,8342,House,23000000,I-14,Islamabad,Islamabad Capital,0,9.3 Marla,For Sale,4,Marla,9.3,5-10 Marla
17091877,8343,House,18000000,I-14,Islamabad,Islamabad Capital,0,9.3 Marla,For Sale,4,Marla,9.3,5-10 Marla
17091878,8343,House,14000000,I-14,Islamabad,Islamabad Capital,0,5.6 Marla,For Sale,4,Marla,5.6,5-10 Marla
17091879,8343,House,12000000,I-14,Islamabad,Islamabad Capital,0,5.6 Marla,For Sale,4,Marla,5.6,5-10 Marla
17091880,8340,House,11500000,I-14,Islamabad,Islamabad Capital,0,5.6 Marla,For Sale,4,Marla,5.6,5-10 Marla
17091881,8340,House,14000000,I-14,Islamabad,Islamabad Capital,0,5.6 Marla,For Sale,4,Marla,5.6,5-10 Marla
17091882,8341,House,12000000,I-14,Islamabad,Islamabad Capital,0,5.6 Marla,For Sale,4,Marla,5.6,5-10 Marla
17091906,3226,House,5800000,DHA Defence,Islamabad,Islamabad Capital,4,8 Marla,For Sale,3,Marla,8,5-10 Marla
17090896,174,Lower Portion,60000,I-8,Islamabad,Islamabad Capital,3,12 Marla,For Rent,3,Marla,12,10-15 Marla
17090898,164,House,1800000,F-6,Islamabad,Islamabad Capital,8,2.3 Kanal,For Rent,7,Kanal,2.3,1-5 Kanal
17090902,162,House,195000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090903,162,House,196000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090904,162,House,197000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090905,162,House,196000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090906,162,House,197000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090907,162,House,198000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090908,162,House,199000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090909,162,House,198000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090910,162,House,199000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090911,162,House,200000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090912,162,House,200000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090913,162,House,201000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090914,162,House,202000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090915,162,House,203000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090916,162,House,204000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090917,162,House,205000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090918,162,House,206000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090919,162,House,207000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090920,162,House,208000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090921,162,House,209000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090922,162,House,210000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090923,162,House,211000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090924,162,House,212000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090925,162,House,213000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090926,162,House,214000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090927,162,House,215000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090928,162,House,216000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090929,162,House,217000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090930,162,House,218000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090931,162,House,219000,F-10,Islamabad,Islamabad Capital,0,1 Kanal,For Rent,6,Kanal,1,1-5 Kanal
17090977,174,Lower Portion,70000,I-8,Islamabad,Islamabad Capital,3,14.2 Marla,For Rent,3,Marla,14.2,10-15 Marla
17090996,174,Lower Portion,58000,I-8,Islamabad,Islamabad Capital,3,12 Marla,For Rent,3,Marla,12,10-15 Marla
17091019,174,Lower Portion,70000,I-8,Islamabad,Islamabad Capital,3,10 Marla,For Rent,3,Marla,10,5-10 Marla
17091054,174,Lower Portion,65000,I-8,Islamabad,Islamabad Capital,3,10 Marla,For Rent,3,Marla,10,5-10 Marla
17091111,174,Upper Portion,65000,I-8,Islamabad,Islamabad Capital,3,12 Marla,For Rent,3,Marla,12,10-15 Marla
17091128,174,Lower Portion,66000,I-8,Islamabad,Islamabad Capital,3,10 Marla,For Rent,3,Marla,10,5-10 Marla
17091162,174,Lower Portion,67000,I-8,Islamabad,Islamabad Capital,3,10 Marla,For Rent,3,Marla,10,5-10 Marla
17091164,8153,Flat,55000,The Springs,Islamabad,Islamabad Capital,4,9.3 Marla,For Rent,4,Marla,9.3,5-10 Marla
17091168,3353,House,60000,G-15,Islamabad,Islamabad Capital,2,8 Marla,For Rent,2,Marla,8,5-10 Marla
